CodDisciplina;NomeDisciplina;CodTurma;Turno;Campus;DiaAula;InicioAula;FimAula;SalaAula;FrequenciaAula;TipoAula;NomeProfessor;Por
BC1425;Algebra Linear;A1;Noturno;Santo Andre;Segunda-feira;19:00;21:00;A-108-0;semanal;Teorica;Edson Alex Arrazola Iriarte;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;A1;Noturno;Santo Andre;Quarta-feira;21:00;23:00;A-108-0;semanal;Teorica;Edson Alex Arrazola Iriarte;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;A1;Noturno;Santo Andre;Sexta-feira;19:00;21:00;A-108-0;semanal;Teorica;Edson Alex Arrazola Iriarte;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;A;Diurno;Santo Andre;Segunda-feira;08:00;10:00;A-108-0;semanal;Teorica;Jeronimo Cordoni Pellegrini;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;A;Diurno;Santo Andre;Quarta-feira;10:00;12:00;A-108-0;semanal;Teorica;Jeronimo Cordoni Pellegrini;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;A;Diurno;Santo Andre;Sexta-feira;08:00;10:00;A-108-0;semanal;Teorica;Jeronimo Cordoni Pellegrini;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;B1;Diurno;Santo Andre;Segunda-feira;10:00;12:00;A-108-0;semanal;Teorica;Mariana Rodrigues da Silveira;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;B1;Diurno;Santo Andre;Quarta-feira;08:00;10:00;A-108-0;semanal;Teorica;Mariana Rodrigues da Silveira;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;B1;Diurno;Santo Andre;Sexta-feira;10:00;12:00;A-108-0;semanal;Teorica;Mariana Rodrigues da Silveira;Bacharelado em Ciencia da Computacao
BC1425;Algebra Linear;B;Noturno;Santo Andre;Segunda-feira;21:00;23:00;A-108-0;semanal;Teorica;Dmitry Vasilevich;Bacharelado em Ciencia da Computacao
