BC1425; Algebra Linear; A; Diurno; Sao Bernardo do Campo; Segunda-feira; 10:00; 12:00; A1-S206-SB; semanal; Teorica; Jair Donadelli Junior; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Diurno; Sao Bernardo do Campo; Quarta-feira; 08:00; 10:00; A1-S206-SB; semanal; Teorica; Jair Donadelli Junior; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Diurno; Sao Bernardo do Campo; Sexta-feira; 10:00; 12:00; A1-S206-SB; semanal; Teorica; Jair Donadelli Junior; Bacharelado em Ciencia da Computacao;
BC0005; Bases Computacionais da Ciencia; A; Diurno; Sao Bernardo do Campo; Segunda-feira; 14:00; 16:00; A1-L001-SB; semanal; Pratica; Wagner Tanaka Botelho; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A1; Diurno; Sao Bernardo do Campo; Sexta-feira; 09:00; 12:00; B-A001-SB; semanal; Teorica; Luciana Zaterka; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A2; Diurno; Sao Bernardo do Campo; Sexta-feira; 09:00; 12:00; B-A002-SB; semanal; Teorica; Anderson de Araujo; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Diurno; Sao Bernardo do Campo; Terca-feira; 08:00; 10:00; A2-S101-SB; semanal; Teorica; Fernando Costa Mattos; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Diurno; Sao Bernardo do Campo; Quinta-feira; 08:00; 10:00; A2-S101-SB; quinzenal I; Teorica; Fernando Costa Mattos; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Diurno; Sao Bernardo do Campo; Terca-feira; 10:00; 12:00; A1-S201-SB; semanal; Teorica; Arilson da Silva Favareto; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Diurno; Sao Bernardo do Campo; Quinta-feira; 10:00; 12:00; A2-S101-SB; quinzenal I; Teorica; Arilson da Silva Favareto; Bacharelado em Ciencia e Tecnologia;
BC0207; Energia: Origens Conversao e Uso; A; Diurno; Sao Bernardo do Campo; Terca-feira; 10:00; 12:00; A2-S106-SB; semanal; Teorica; Flavia Camargo Alves Figueiredo; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Diurno; Sao Bernardo do Campo; Terca-feira; 10:00; 11:30; A1-S203-SB; semanal; Teorica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Diurno; Sao Bernardo do Campo; Quinta-feira; 08:30; 10:00; A1-S203-SB; semanal; Teorica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; B; Diurno; Sao Bernardo do Campo; Terca-feira; 08:30; 10:00; A1-S203-SB; semanal; Teorica; Marcelo Oliveira da Costa Pires; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; B; Diurno; Sao Bernardo do Campo; Quinta-feira; 10:00; 11:30; A1-S203-SB; semanal; Teorica; Marcelo Oliveira da Costa Pires; Bacharelado em Ciencia e Tecnologia;
