BC1425; Algebra Linear; A1; Noturno; Santo Andre; Segunda-feira; 19:00; 21:00; A-108-0; semanal; Teorica; Edson Alex Arrazola Iriarte; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A1; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-108-0; semanal; Teorica; Edson Alex Arrazola Iriarte; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A1; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-108-0; semanal; Teorica; Edson Alex Arrazola Iriarte; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B; Noturno; Santo Andre; Segunda-feira; 21:00; 23:00; A-108-0; semanal; Teorica; Dmitry Vasilevich; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-108-0; semanal; Teorica; Dmitry Vasilevich; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-108-0; semanal; Teorica; Dmitry Vasilevich; Bacharelado em Ciencia da Computacao;
BC1435; Analise de Algoritmos; A; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; S-305-2; semanal; Teorica; Debora Maria Rossi de Medeiros; Bacharelado em Ciencia da Computacao;
BC1435; Analise de Algoritmos; A; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; S-306-2; semanal; Teorica; Debora Maria Rossi de Medeiros; Bacharelado em Ciencia da Computacao;
BC0005; Bases Computacionais da Ciencia; A1; Noturno; Santo Andre; Segunda-feira; 19:00; 21:00; L501; semanal; Pratica; Rogerio Perino de Oliveira Neves; Bacharelado em Ciencia e Tecnologia;
BC0005; Bases Computacionais da Ciencia; A; Noturno; Santo Andre; Segunda-feira; 19:00; 21:00; L506; semanal; Pratica; Harlen Costa Batagelo ; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A1; Noturno; Santo Andre; Terca-feira; 19:00; 21:00; A-101-0; semanal; Teorica; Anastasia Guidi Itokazu; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A1; Noturno; Santo Andre; Quinta-feira; 19:00; 21:00; A-101-0; quinzenal I; Teorica; Anastasia Guidi Itokazu; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A2; Noturno; Santo Andre; Terca-feira; 19:00; 21:00; S-212-0; semanal; Teorica; William Jose Steinle; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A2; Noturno; Santo Andre; Quinta-feira; 19:00; 21:00; S-212-0; quinzenal I; Teorica; William Jose Steinle; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Noturno; Santo Andre; Terca-feira; 21:00; 23:00; A-103-0; semanal; Teorica; Anastasia Guidi Itokazu; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Noturno; Santo Andre; Quinta-feira; 21:00; 23:00; A-101-0; quinzenal I; Teorica; Anastasia Guidi Itokazu; Bacharelado em Ciencia e Tecnologia;
BC0003; Bases Matematicas; A; Noturno; Santo Andre; Segunda-feira; 19:00; 21:00; A-106-0; semanal; Teorica; Vivili Maria Silva Gomes; Bacharelado em Ciencia e Tecnologia;
BC0003; Bases Matematicas; A; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-106-0; semanal; Teorica; Vivili Maria Silva Gomes; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Noturno; Santo Andre; Terca-feira; 19:00; 21:00; S-206-0; semanal; Teorica; Luciana Pereira; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Noturno; Santo Andre; Quinta-feira; 19:00; 21:00; S-206-0; quinzenal I; Teorica; Luciana Pereira; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Noturno; Santo Andre; Terca-feira; 21:00; 23:00; S-208-0; semanal; Teorica; Luciana Pereira; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Noturno; Santo Andre; Quinta-feira; 21:00; 23:00; S-208-0; quinzenal I; Teorica; Luciana Pereira; Bacharelado em Ciencia e Tecnologia;
