BC1425; Algebra Linear; A; Diurno; Santo Andre; Segunda-feira; 08:00; 10:00; A-108-0; semanal; Teorica; Jeronimo Cordoni Pellegrini; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-108-0; semanal; Teorica; Jeronimo Cordoni Pellegrini; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-108-0; semanal; Teorica; Jeronimo Cordoni Pellegrini; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B1; Diurno; Santo Andre; Segunda-feira; 10:00; 12:00; A-108-0; semanal; Teorica; Mariana Rodrigues da Silveira; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B1; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-108-0; semanal; Teorica; Mariana Rodrigues da Silveira; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; B1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-108-0; semanal; Teorica; Mariana Rodrigues da Silveira; Bacharelado em Ciencia da Computacao;
BC1435; Analise de Algoritmos; A; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; S-306-2; semanal; Teorica; Alexandre Noma; Bacharelado em Ciencia da Computacao;
BC1435; Analise de Algoritmos; A; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; S-306-2; semanal; Teorica; Alexandre Noma; Bacharelado em Ciencia da Computacao;
MC5004; Aprendizado de Maquina; A; Diurno; Santo Andre; Segunda-feira; 10:00; 12:00; S-303-2; semanal; Teorica; Jesus Pascual Mena Chalco; Bacharelado em Ciencia da Computacao;
MC5004; Aprendizado de Maquina; A; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; S-308-2; semanal; Teorica; Jesus Pascual Mena Chalco; Bacharelado em Ciencia da Computacao;
BC0005; Bases Computacionais da Ciencia; A; Diurno; Santo Andre; Segunda-feira; 08:00; 10:00; L506; semanal; Pratica; Harlen Costa Batagelo; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A; Diurno; Santo Andre; Terca-feira; 08:00; 10:00; A-101-0; semanal; Teorica; Katya Margareth Aurani; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A; Diurno; Santo Andre; Quinta-feira; 08:00; 10:00; A-101-0; quinzenal I; Teorica; Katya Margareth Aurani; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Diurno; Santo Andre; Terca-feira; 10:00; 12:00; S-212-0; semanal; Teorica; Katya Margareth Aurani; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Diurno; Santo Andre; Quinta-feira; 10:00; 12:00; S-212-0; quinzenal I; Teorica; Katya Margareth Aurani; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Diurno; Santo Andre; Terca-feira; 08:00; 10:00; S-206-0; semanal; Teorica; Neusa Serra; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Diurno; Santo Andre; Quinta-feira; 08:00; 10:00; S-206-0; quinzenal I; Teorica; Neusa Serra; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Diurno; Santo Andre; Terca-feira; 10:00; 12:00; S-208-0; semanal; Teorica; Luis Roberto de Paula; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Diurno; Santo Andre; Quinta-feira; 10:00; 12:00; S-208-0; quinzenal I; Teorica; Luis Roberto de Paula; Bacharelado em Ciencia e Tecnologia;
MC3201; Compiladores; A; Diurno; Santo Andre; Terca-feira; 08:00; 10:00; S-308-2; semanal; Teorica; Francisco Isidro Massetto; Bacharelado em Ciencia da Computacao;
MC3201; Compiladores; A; Diurno; Santo Andre; Quinta-feira; 10:00; 12:00; 409-2; semanal; Pratica; Francisco Isidro Massetto; Bacharelado em Ciencia da Computacao;
MC3307; Computadores Etica e Sociedade; A; Diurno; Santo Andre; Segunda-feira; 10:00; 12:00; S-213-0; semanal; Teorica; Francisco Javier Ropero Pelaez; Bacharelado em Ciencia e Tecnologia;
BC0207; Energia: Origens Conversao e Uso; A; Diurno; Santo Andre; Terca-feira; 10:00; 12:00; A-104-0; semanal; Teorica; Jose Rubens Maiorino; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Diurno; Santo Andre; Terca-feira; 10:00; 12:00; A-106-0; semanal; Teorica; Gabriel Teixeira Landi; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Diurno; Santo Andre; Quinta-feira; 10:00; 12:00; A-106-0; quinzenal II; Teorica; Gabriel Teixeira Landi; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A1; Diurno; Santo Andre; Segunda-feira; 08:00; 10:00; S-205-0; semanal; Teorica; Daniel Miranda Machado; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A1; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; S-205-0; quinzenal I; Teorica; Daniel Miranda Machado; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A; Diurno; Santo Andre; Segunda-feira; 08:00; 10:00; A-106-0; semanal; Teorica; Mariana Rodrigues da Silveira; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-106-0; quinzenal I; Teorica; Mariana Rodrigues da Silveira; Bacharelado em Ciencia e Tecnologia;
MC6002; Laboratorio de Redes; A; Diurno; Santo Andre; Terca-feira; 10:00; 12:00; 404-2; semanal; Pratica; Nunzio Marco Torrisi; Bacharelado em Ciencia da Computacao;
MC6002; Laboratorio de Redes; A; Diurno; Santo Andre; Quinta-feira; 08:00; 10:00; 404-2; semanal; Pratica; Nunzio Marco Torrisi; Bacharelado em Ciencia da Computacao;
BC1426; Logica Basica; A; Diurno; Santo Andre; Quarta-feira; 14:00; 16:00; S-213-0; semanal; Teorica; Luis Paulo Barbour Scott; Bacharelado em Ciencia da Computacao;
BC1426; Logica Basica; A; Diurno; Santo Andre; Sexta-feira; 14:00; 16:00; S-213-0; semanal; Teorica; Luis Paulo Barbour Scott; Bacharelado em Ciencia da Computacao;
BC0504; Natureza da Informacao; A; Diurno; Santo Andre; Segunda-feira; 10:00; 12:00; A-113-0; semanal; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC0504; Natureza da Informacao; A; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-113-0; quinzenal II; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 408-2; semanal; Pratica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
