Codigo,Disciplina,Creditos,Recomendacao1,Recomendacao2,Recomendacao3,Recomendacao4,Tipo,Quadrimestre
MCTA006-13,Circuitos Digitais,4,,,,,Obrigatoria,6
MCTA001-13,Algoritmos e Estruturas de Dados I,4,Programacao Estruturada,,,,Obrigatoria,6
MCTB019-13,Matematica Discreta,4,Funcoes de uma variavel,,,,Obrigatoria,6
MCTA024-13,Sistemas Digitais,4,Circuitos Digitais,,,,Obrigatoria,7
MCTA003-13,Analise de Algoritmos,4,Matematica Discreta,Algoritmos e Estruturas de Dados I,,,Obrigatoria,7
MCTA018-13,Programacao Orientada a Objetos,4,Processamento da Informacao,Programacao estruturada,,,Obrigatoria,7
MCTB001-13,Algebra Linear,6,Geometria Analitica,,,,Obrigatoria,7
MCTA009-13,"Computadores, etica e Sociedade",2,,,,,Obrigatoria,7
MCTA004-13,Arquitetura de Computadores,4,Circuitos Digitais,Sistemas Digitais,,,Obrigatoria,8
MCTA002-13,Algoritmos e Estruturas de Dados II,4,Algoritmos e Estruturas de Dados I,,,,Obrigatoria,8
MCTA027-13,Teoria dos Grafos,4,Matematica Discreta,Processamento da Informacao,Algoritmos e Estruturas de Dados I,,Obrigatoria,8
MCTA005-13,Banco de Dados,4,Algoritmos e Estruturas de Dados I,,,,Obrigatoria,8
MCTAO14-13,Inteligencia Artificial,4,Logica Basica,Processamento da Informacao,,,Obrigatoria,8
MCTA022-13,Redes de Computadores,4,Processamento da Informacao,,,,Obrigatoria,9
MCTA026-13,Sistemas Operacionais,5,Arquitetura de Computadores,,,,Obrigatoria,9
MCTA015-13,Linguagens Formais e Automata,4,Programacao Estruturada,,,,Obrigatoria,9
MCTA010-13,Engenharia de Software,4,Processamento da Informacao,,,,Obrigatoria,9
MCTA019-13,Projeto de Graduacao em Computacao I,8,,,,,Obrigatoria,10
MCTA025-13,Sistemas Distribuidos,4,Redes de Computadores,,,,Obrigatoria,10
MCTA007-13,Compiladores,4,Linguagens Formais e Automata,Algoritmos e Estruturas de Dados I,,,Obrigatoria,10
MCTA016-13,Paradigmas de Programacao,4,Processamento da Informacao,Programacao Orientada a Objetos,,,Obrigatoria,10
MCTA020-13,Projeto de Graduacao em Computacao II,8,Projeto de Graduacao em Computacao I,,,,Obrigatoria,11
MCTA008-13,Computacao Grafica,4,Algoritmos e Estruturas de Dados I,Geometria Analitica,,,Obrigatoria,11
MCTA017-13,Programacao Matematica,4,Algebra Linear,Funcoes de uma Variavel,,,Obrigatoria,11
MCTA021-13,Projeto de Graduacao em Computacao III,8,Projeto de Graduacao em Computacao I,Projeto de Graduacao em Computacao II,,,Obrigatoria,12
MCTA023-13,Seguranca de Dados,4,Redes de Computadores,Algoritmo e Estrutura de Dados I,,,Obrigatoria,12
